id_cliente,nome,email,cidade
1,Davi Rodrigues,antonioduarte@souza.com,Teixeira
2,Srta. Manuela Duarte,cardosofernanda@araujo.com,Viana dos Dourados
3,Sophie Freitas,lucca18@barros.br,da Cruz Grande
4,Luiz Henrique Barros,zda-mata@hotmail.com,Silva do Amparo
5,Heitor Azevedo,costadavi-lucca@gmail.com,Almeida
6,Lorenzo Araújo,davicorreia@ig.com.br,Costa
7,Samuel da Rosa,fcardoso@nascimento.com,Dias Grande
8,Luiz Otávio Azevedo,alanarocha@hotmail.com,Fernandes de Nogueira
9,João Pedro Teixeira,davi30@gmail.com,da Mota
10,Juan Castro,eduarda66@araujo.br,Castro de Cavalcanti
11,Maria Cecília Moura,maria-sophia78@uol.com.br,Cardoso de Minas
12,Eduardo Castro,ipires@cunha.com,Costa de da Mata
13,Diogo Alves,maria-vitoriafarias@hotmail.com,Fogaça
14,Breno Oliveira,pietro19@hotmail.com,Melo
15,Luiz Otávio Duarte,sabrinapinto@uol.com.br,Gomes de Ramos
16,Srta. Clarice Cunha,isabelly66@uol.com.br,da Paz de Viana
17,Dra. Amanda Cunha,bryancunha@uol.com.br,da Rosa
18,Emilly Campos,maite00@bol.com.br,Lima de Nascimento
19,Luigi da Luz,da-matacatarina@campos.net,da Rosa do Oeste
20,Sr. Vitor Campos,vitor-hugoda-conceicao@dias.com,Dias
21,Gabrielly Costa,dda-luz@hotmail.com,Azevedo
22,Yasmin Nunes,luigi41@mendes.br,das Neves do Norte
23,Emanuelly Barros,luiz-henrique14@porto.net,Nunes
24,Luiz Gustavo Novaes,yuri92@uol.com.br,Fernandes
25,Eduardo Pinto,qcostela@gmail.com,Moreira
26,Davi Luiz Cavalcanti,mduarte@cunha.br,Melo
27,Srta. Laura Duarte,sarahcardoso@ferreira.br,Dias
28,Kamilly Aragão,raulsouza@freitas.com,Ferreira
29,Pedro Henrique Santos,qlima@gmail.com,Ramos
30,Sr. Kaique Peixoto,pcunha@jesus.br,Teixeira
31,Sr. Henrique Rocha,mrezende@hotmail.com,Mendes
32,Sra. Bruna da Paz,meloisabella@novaes.com,da Rosa da Mata
33,Dr. Eduardo Almeida,das-neveslarissa@bol.com.br,Barros de Vieira
34,Bryan Alves,aporto@ferreira.com,Freitas Grande
35,Isaac Lima,lcastro@uol.com.br,Gonçalves
36,Kamilly Gonçalves,souzaluiz-henrique@lopes.com,Moreira de da Cunha
37,Paulo da Conceição,da-matadaniel@silva.br,da Cruz
38,Danilo Silva,murilo49@ig.com.br,Barros do Sul
39,Ana Júlia Nascimento,souzadiego@jesus.com,Ribeiro de Minas
40,Arthur da Cruz,rnogueira@rodrigues.br,da Rocha
41,Gabrielly das Neves,theorocha@da.net,Nascimento
42,Dr. Diogo Cunha,alicefreitas@yahoo.com.br,Barros da Praia
43,Isadora Freitas,ribeirolaura@aragao.br,Barros da Praia
44,Fernanda Gomes,maria-eduardadias@carvalho.com,Pinto
45,Sra. Maria Cecília da Rocha,francisco45@costela.com,Souza
46,Srta. Amanda Silva,matheus99@yahoo.com.br,Campos
47,Lucas Cardoso,barrosmarina@nascimento.com,Silveira
48,Maria Alice Rodrigues,ncostela@ig.com.br,da Paz
49,Rodrigo Gomes,peixotoyasmin@gmail.com,das Neves
50,Dr. Matheus Santos,mouraian@hotmail.com,da Conceição
